name,variants
Davor,"Davoran, Davorin"
Dawatha,
Dawn,"Dawna, Dawnita"
Dawson,
Dawud,
Dax,
Day,
Daya,
Dayaa,
Dayan,Daian
Dayana,
Dayanand,
Dayaram,
Dayo,
Dayton,"Daeton, Daiton"
De,
Dea,Deana
Deacon,"Deakin, Dekel"
Dean,"Deen, Dene, Deyn, Dino"
Deanna,"Deana, Deann, Dena, Dina"
Dearborn,Deerburne
Deborah,"Deb, Debbie, Debora, Debra"
Decha,Dech
Decima,
Decimus,
Declan,Dyclan
Deco,
Dede,
Dedrick,"Deadric, Dederic"
Dee,"Dee Dee, Dee Ann, Didi"
Deems,
Degataga,
Degula,
Deianeira,
Deifilia,
Deirdre,"Deardriu, Dedra, Didi, Dee Dee"
Deiter,
Deka,
Dekanawida,Deganawidah
Dekel,"Dekal, Dekil"
Deker,
Delana,"Dalana, Dalena"
Delaney,"Delain, Delaine, Delainey, Delane, Delany"
Delano,
Delbert,"Bert, Bertie, Dalbert"
Delia,
Delicia,"Dee, Dela, Delice, Delisha, Della, Didi"
Delight,
Delija,
Delilah,"Dalila, Lila"
Delle,
Delling,
Delma,
Delman,Delmon
Delmelza,
Delmore,"Delmar, Delmer"
Delphine,Delphinia
Delroy,
Delsin,"Delsan, Delsen"
Delta,
Delton,Dalton
Delwin,"Dalwin, Delavan, Delevan, Delvin"
Delwyn,
Delyth,"Delith, Delitha"
Dema,
Dembe,
Demelza,
Demetria,"Deita, Demetra, Demetris, Demi"
Demetrius,"Demetri, Demetrios, Demetris, Dhimitrios, Dmitri, Dimitrios, Dmitry"
Demos,Demas
Dempsey,Dempsy
Dempster,
Dena,"Denav, Dene, Deneen, Denia, Denica"
Denae,
Denby,"Danbey, Denney, Denny"
Denham,
Denholm,
Denise,"Deni, Denize, Denny, Denyse, Dinny"
Deniz,
Denley,
Denman,
Dennis,"Danas, Den, Denet, Denies, Denis, Dennet, Dennie, Dennison, Deon, Dion, Dionigio, Dionisio, Dionizias (Lithuanian), Dionizy (Polish), Dionysius, Nicho (Spanish)"
Dennison,"Den, Tennyson"
Denton,"Denny, Dent, Dentin"
Denver,Denvor
Denzil,"Denzel, Denziel"
Denzo,Denzio
Deolinda,
Deorsa,
Dequan,
Derek,"Derec, Daric, Derick, Darrick, Deric, Derik, Deryke, Diederich (German), Dirk"
Derica,"Dereka, Derika, Derrica"
Dermot,"Dermott, Diarmid, Diarmuid"
Deror,"Derori, Derory"
Derora,"Derorice, Derorit"
Derrilin,Derilin
Derry,Dery
Derward,"Derwood, Dirwood, Durward, Durwood"
Deryn,"Deran, Deren, Deron, Derrine"
Desdemona,Desmona
Deshi,
Desiree,"Desideria, Desir, Desirat, Desiri"
Desma,
Desmond,Desmund
Dessa,
Destin,"Destan, Desten, Deston"
Destiny,"Destinee, Didiane"
Deva,Devi
Devak,
Deval,
Devanand,
Devany,"Davanfe, Devaney, Devinee, Devony"
Devasha,Devash
Devdas,
Deven,"Deaven, Diven"
Devendra,
Deverell,
Devin,"Dev, Deva, Devinne, Devon"
Devine,
Devlin,"Devland, Devlen, Devlyn"
Devmani,
Devon,"Devan, Deveney, Devona, Devin, Devondra"
Devorgilla,"Dearbhforgail, Diorbhail"
Devraj,
Dewei,
Dewey,Duey
Dewi,
Dewitt,"Dwight, Witt"
Dexter,Dex
Dextra,
Dezba,
Dezydery,
Dhanadaa,
Dhara,"Dharinee, Dharitri, Dharti"
Dhaval,"Dhavlen, Dhavlesh"
Dhimani,"Dheemant, Dhimant"
Diamanta,
Diamond,
Dian,
Diana,"Deana, Deane, Deanna, Dee, Dena, Di, Dian, Diane, Diandra, Dyan"
Diantha,Dianthe
Diarmaid,
Diarmuid,
Dichali,
Didier,
Dido,
Didrika,
Diederik,"Diderik, DIdrik, Dierk"
Dielle,Diella
Diet,
Dieter,"Diehardt, Deirhard"
Dietrich,"Detrich, Didric, Didrick, Diedric, Diedrich, Diedrik, Dierk"
Dieu Hien,
Dieu-Kiem,
Digby,
Digna,Dinya
Dilgon,
Dilip,
Dillon,"Dillan, Dilon, Dylon"
Dilwyn,Dilwin
Dilys,"Dillys, Dylys"
Dima,
Dima,
Din,
Dinah,"Dina, Dyna"
Dinendra,
Dinesh,
Dingbang,
Dinh,Din
Dinh Hoa,
Dinia,Dinya
Dinka,
Dinko,Dincko
Dinsmore,
Diomedes,
Dionne,"Dion, Diona"
Dior,"Diora, Dore"
Dipak,Deepak
Disa,Diss
Dishi,
Dishon,
Dita,
Divina,Divinia
Divon,
Divya,
Divyendu,
Diwali,
Dixie,
Dixon,Dix
Diya,
Diya Aldin,
Diza,Ditza
Do,
Doane,Doan
Doba,
Dobieslaw,
Dobrila,
Dobromierz,
Dobromil,
Dobromila,
Dobromir,
Dobromira,
Dobry,Dobrie
Docila,
Doda,
Dodek,
Dodie,
Dogan,
Dohasan,"Dohate, Dohosan"
Doherty,"Docherty, Dougherty, Douherty"
Dolaidh,Domhnall
Dolan,Dollan
Doli,
Dolores,"Delora, Delores, Deloria, Dolorcita, Dolorcitas, Dolorita, Doloritas, Lola, Lolita"
Dominic,"Demenico, Demingo, Dom, Domenico, Domingo, Domini, Dominie, Nick"
Dominica,"Dominique, Domini, Mika"
Donagh,"Donaghy, Donnchadh, Donogh, Donough"
Donahue,"Donohoe, Donohue"
Donald,"Domnal, Domnall, Donal, Donalt, Donaugh, Donel, Donil, Donnel, Donny"
Donalda,"Domnull, Donia, Dona, Donetta, Donita"
Donat,
Donata,
Donato,
Dong,
Dong-Sun,
Dong-Yul,
Donkor,Donko
Donna,"Dona, Donella, Donelle, Donetta, Donia, Donica, Donnell, Donnie, Ladonna"
Donnag,"Doileag, Dolag, Dollag"
Donnan,Donn
Donnchadh,
Donnelly,"Doneal, Donel, Doniel, Donnell, Donniel"
Donoma,
Donovan,"Donavan, Donevin, Donovon"
Dooley,
Dooriya,
Dor,
Dora,"Dodi, Doralia, Doreen, Dorelia, Doretta, Dorette, Dorrie"
Dorak,"Dorek, Dorik"
Doran,"Dore, Doron, Dorran, Dorren, Dorrin"
Dorcas,
Dore,"Doree, Doreen, Dorine, Doreyn, Dory"
Doreen,
Doreen,Doireann
Dorian,"Doran, Dorien, Dorrian, Dorryen"
Dorinda,
Doris,"Doria, Dorisa, Dorita, Dorrie"
Dorit,Dorita
Dorothy,"Doortje (Dutch), Dot, Dotty, Dolly, Dody, Dorinda, Dorika"
Dotan,Dothan
Doto,
Douce,
Dougal,"Doug, Dougall, Doyle, Dubhghall, Dugal, Dugald, Dugall"
Douglas,"Doug, Dougal, Dougie, Doyle, Dubhglas, Dugaid, Dugald"
Douna,
Dov,
Dover,Dova
Dovidas,
Dow,
Dowanhowee,
Doyle,
Drahomira,
Drake,"Draek, Drago, Draik"
Draupadi,
Dreng,
Drew,"Drewa, Dru"
Drina,
Drisana,
Druce,
Druella,
Drummond,
Drury,
Drusilla,"Dru, Drucie, Drucilla"
Dryden,Driden
Drystan,
Du,
Dua,
Duana,
Duane,"Dewain, Duwain, Dwain, Dwayne"
Duarte,(see Edward)
Dubh,
Dubric,"Dubrick, Dubrik"
Duc,Duoc
Duck-Hwan,
Duck-Young,
Dudee,
Dudley,
Duena,
Duffy,Duff
Dugan,"Doogan, Dougan, Duggan"
Duha,
Duke,
Dukker,
Dulani,
Dularee,
Dulcie,"Delcina, Delcine, Dulce, Dulcea, Dulcy"
Dumaka,
Duman,"Dumen, Dumin"
Dumia,Dumiya
Dumin,
Dumont,
Duncan,"Dunn, Dunc"
Dunham,
Dunley,
Dunlop,
Dunmore,
Dunn,Dunne
Dunstan,
Dunton,
Duoc,
Dur,
Dural,
Durant,"Dante, Duran, Durand, Durante"
Durbin,
Dureau,Durea
Durga,
Durko,
Durriken,
Durril,Duril
Durva,
Durward,Derward
Dusan,"Dusa, Dudanek, Duysek"
Dusana,"Dusa, Dusanka, Dusicka, Duska"
Duscha,
Dustin,"Dustan, Duston, Dusty"
Duval,
Dwight,
Dwyer,
Dwynwen,
Dyami,
Dyani,
Dyer,
Dylan,"Dilan, Dillen, Dillon"
Dyllis,Dilisa
Dymock,Dimock
Dympna,Dymphna
Dynawd,
Dyre,
Dyson,
Dyzek,
Dziko,
Ea,"Eah, Edan, Eth"
Eachan,"Eachann, Eachin, Egan, Egon"
Eadoin,Eadiyn
Eagan,"Egan, Egon"
Eairrdsidh,
Ealahweemah,
Ealaot Wadass,
Ealaothek Kaunis,
Ealasaid,
Ealga,
Eallair,
Eamhair,
Eamon,"Eaman, Eamen, Eamin, Eiman, Eimin, Eimon"
Eanna,
Eanraig,
Eapalekhtiloom,
Earl,"Airle, Earld, Earle, Earlie, Erle, Errol, Rollo"
Earlene,"Earla, Earlie, Erlina, Erline"
Eartha,"Erda, Herta, Hertha"
Easton,Eston
Eaton,"Eton, Eyton"
Eavan,Eavana
Ebal,Ebale
Ebba,
Eben,"Eban, Ebenn"
Ebenezer,"Eb, Ebbaneza, Eben, Eveneser, Ibenezer"
Eberhard,"Eberhardt, Everard, Evrard"
Ebilo,"Ebbo, Ebert"
Ebisu,
Ebo,
Ebony,
Ebun,Ebuna
Eca,
Echo,Eco
Eda,Edda
Eda,"Eada, Eade, Ede"
Edan,"Eadan, Eaden, Eadin, Edin, Edon"
Edana,"Aiden, Dana, Eideann"
Edbert,
Edek,
Edel,Adel
Edeline,
Eden,"Eaden, Eadin, Edin, Edyn"
Edensaw,
Eder,
Edgar,"Ed, Edek, Edgaras (Lithuanian), Edgard, Edgardo, Garek (Polish), Ned, Neddy, Ted"
Ediah,"Edia, Ediya, Edya, Edyah"
Edina,
Edison,"Eddy, Eddie, Eddison, Edson"
Edith,"Eda, Edie, Eyde, Editha, Edithe, Ediva, Edita"
Edlyn,
Edmee,Edme
Edmonda,"Edma, Edmee, Edmunda"
Edmund,"Eadmund, Eamon, Ed, Eddie, Edmon, Edmond, Edmonde, Edmondo, Edmun, Esmond, Ned, Neddie, Ted, Teddy"
Edna,Eddie
Edrea,"Edra, Eidra, Eydra"
Edred,
Edric,"Eddric, Eddrick, Edrick, Edrice"
Edris,"Edrice, Edrica, Edricia"
Edsel,
Edur,
Edwald,
Edward,"Eadbhard, Eadbard, Ed, Eddie, Edic, Edik, Edko, Edouard, Eduardo, Edvard, Edvardo, Edwards, Edzio, Ewart, Ned, Ted, Teddie"
Edwardine,Edwarda
Edwige,"Edvig, Edwig, Hedvig, Hedwig, Hedwige"
Edwin,"Eadwin, Ed, Eddy, Edlin, Eduino, Edwinn, Ned, Neddy, Ted"
Edwina,Edina
Edzard,
Eehu,
Eepa,
Efah,"Efa, Eifa, Eifah, Ephah"
Efia,
Efrata,"Efrat, Ephrat, Ephrata"
Efron,
Ega,
Egan,"Egann, Egin, Egon"
Egbert,
Egberta,"Egbertina, Egbertine"
Egerton,Edgerton
Egidia,
Egidio,
Egidiusz,
Egil,"Egils, Eigil"
Eginhard,"Eginhardt, Egon, Einhard, Einhardt, Enno"
Eglah,Egla
Eglantine,Eglantyne
Egmont,
Ehani,Ehina
Ehawee,
Ehioze,
Ehren,Eren
Ehud,
Eiddwen,"Edwina, Edwine"
Eifah,"Efa, Efah, Eifa, Epha"
Eifion,
Eifiona,
Eigneachan,Ighneachan
Eikki,Eiki
Eilah,"Aila, Ailah, Ala, Ayla, Eila, Eilona, Ela, Elona, Eyla"
Eilam,
Eilif,
Eiluned,Lynette
Eilwyn,"Eilwen, Eilwena"
Eimhear,Emer
Eimhear,
Eimhin,
Einar,"Ejnar, Inar"
Einion,Einwys
Einmyria,
Eir,Eira
Eira,"Eir, Eirwen"
Eiralys,Eirlys
Eirian,Iriol
Eirig,Eyrig
Eiros,Eyros
Eirpne,Eirpna
Eisak,
Eithna,"Aine, Eithne, Ena, Ethnia"
Ekaanta,
Ekala,
Ekana,Etana
Ekeka,Edega
Ekekiela,
Ekela,Etela
Ekela,
Eker,
Ekon,"Ek, Koni"
Ekua,
Ela,
Ela,Ella
Elaine,"Alaina, Alayne, Elain, Elana, Lainey"
Elam,
Elama,
Elamma,
Elan,
Elana,"Elane, Elanna"
Elanora,
Elata,
Elbert,
Elberta,"Alberta, Eberta"
Elchanan,Elhanan
Elden,
Elder,
Eldon,
Eldora,"Eldoree, Eldoria, Eldoris"
Eldred,"Aldrid, Eldrid"
Eldrida,
Eldridge,"Eldredge, Eldrege, Eldrige"
Eleanor,"Alenor, Aline, Annora, Eileen, Elaine, Eleanora, Elenore (German), Elinor, Ellen, Ella, Enora, Helen, Helena, Helene, Lenore, Leonora, Lina, Nell, Nellie, Nona, Nora, Noreen, Norene, Norina, Norine"
Eleazar,"Elazar, Eleasar, Eleazaro, Eli, Elie"
Electra,Elektra
Eleebana,
Eleele,
Elek,"Elec, Elic"
Elele,
Elen,"Elin, Ellin"
Elenek,
Elenola,
Eleri,
Eletta,Elete
Eleu,
Elford,
Elfrida,"Elfreda, Elfrieda"
Elga,"Elviga, Helga"
Elgar,
Elgin,Eljin
Eli,"Elie, Eloi, Ely"
Elia,
Eliane,"Elia, Eliana, Elice, Eline"
Elidi,
Elihu,
Elijah,"Eli, Elia, Eliah, Elias, Elihu, Eliot, Eliyahu, Elliot, Ellis, Elyot, Ilias"
Elika,
Elili,
Eliora,"Eleora, Elleora"
Eliot,"Elijah, Elliot, Elliott, Eliott, Elyot, Elyott"
Elisha,"Eli, Elisee, Eliseo, Elisher, Lisha"
Elisheva,"Eliseva, Elisheba"
Elita,Lita
Elizabeth,"Aliza, Alisa, Alzbeta, Babette, Belita, Bell, Bella, Bess, Bessie, Beth, Betsy, Betta, Bette, Betty, Betuska, Eilis, Elisa, Elisabet, Elisabetta (Italian), Elise, Eliska (Bohemian), Elissa, Eliza, Elka (Polish), Elle, Elsa, Elsbet, Elsie, Elspet, Elspeth, Elzbieta, Helsa, Ilsa, Isabel, Isabella, Leeza, Lib, Libby, Liese, Liesl, Liezel, Lilibet, Lisbeth, Lisette, Lisl, Lisle, Lizka, Lysa, Lyssa, Yelisaveta, Ysabel"
Elizur,
Eljasz,
Eljon,
Elkana,
Elkanah,Elkana
Elke,"Elka, Ilka"
Elki,
Ella,Ellie
Ellard,"Allard, Allerd"
Ellen,
Ellery,"Elarie, Ellary, Ellerey"
Elli,"Elea, Elee"
Ellice,
Ellis,Elis
Ellison,"Ellis, Ellson, Elyson"
Ellsworth,
Elma,
Elma,Elmar
Elman,
Elmer,
Elmo,
Elmore,"Ellmore, Elmoor, Ellmoor"
Eloise,"Aloisa, Aloysia, Heloise"
Elon,
Eloni,
Elora,Ellora
Eloy,Eloi
Elpidios,
Elrad,Ellrad
Elrica,
Elroy,"Elrick, Elrod"
Elsdon,
Elston,
Elsu,
Elsworth,
Elton,"Elten, Eltin"
Eluned,"Elined, Lanet, Lanette, Linet, Luned, Lynette"
Elva,"Ailbhe, Elvia, Elvie"
Elvern,"Elverne, Elvirn"
Elvin,Elwin
Elvina,"Alvina, Elvenia, Vina"
Elvio,
Elvira,"Elva, Elvera, Elvina, Elvire, Elwira, Lira"
Elvis,"Alvis, Elvys"
Elwell,
Elwood,Ellwood
Elwyn,Elwin
Ely,
Elysia,"Eleese, Eliese, Elise, Elisia, Ilysa"
Eme,
Emek,
Emeline,"Emalyn, Embline, Emblyn, Emiline, Emlyn, Emmalee, Emmaline"
Emeni,
Emera,
Emerald,
Emere,Emera
Emerson,
Emery,"Amerigo, Amery, Amory, Emeri, Emerich, Emmerich, Emory"
Emil,"Amiel, Amile, Aymil, Emelen, Emiel, Emile, Emilian, Emiliano, Emilio, Emilion, Emilyan, Emlen, Emlin"
Emily,"Aimil, Amalea, Amalie, Ameline, Amy, Eimile, Em, Ema, Emelda, Emilla, Emmy"
Emina,
Emlyn,
Emma,"Em, Emelina, Emeline, Emmaline, Emmalyn, Emmet, Emmie, Emmot, Emmy"
Emmanuel,"Eman, Emanuele, Immanuel, Immanuele, Maco, Manny, Manuel, Manuelo"
Emmett,Emmet
Emobi,
Emrys,
Emuna,
Emyr,
Enakai,
Enam,
Enan,"Enen, Enin, Enon"
Enapay,
Enda,Endah
Endor,
Endora,
Endotya,Endotah
Enfys,
Engelbert,"Bert, Berty, Inglebert"
Engelberta,Engelbertha
Enid,"Eanid, Enyd"
Enlai,
Enli,
Ennea,
Ennis,
Enoch,Enock
Enoka,
Enomwoyi,
Enosh,Enos
Enrica,"Enrietta, Enriqua"
Enright,"Enrit, Enrite"
Ensor,"Ensar, Enser, Ensir"
Enver,
Enya,Kenia
Enyeto,Enieto
Enyonyam,
Enzi,
Eochaidh,
Eoghania,
Eoin,
Eos,Eosa
Epelaima,
Epena,
Ephraim,"Efraim, Efrain, Efrayim, Efrem, Efren, Ephream"
Epona,Eponia
Eponi,
Eran,"Erin, Eron"
Eranthe,
Erasma,
Erasmus,"Erasme, Erasmo, Ras"
Erastus,"Eraste, Rastus"
Ercole,
Erdogan,
Erebus,
Erel,
Erela,
Erhard,"Erhardt, Erhart"
Erianthe,
Eric,"Ehric, Eirik, Erek, Erich, Erik, Errick, Rick, Rikky"
Erica,"Airica, Enrica, Eraca, Erique, Eyrica, Rica, Ricki, Rika, Rikki"
Eriha,
Eriko,
Erin,"Eran, Ereni, Erinn"
Erina,
Erland,
Erlend,
Erlinda,
Erling,Erlin
Erma,"Ermina, Erminia, Erminie, Irma, Irminia, Hermia, Hermine, Herminie, Hermione"
Ermin,
Ermine,Erminia
Ernan,"Ernen, Ernin, Ernon"
Ernest,"Earnest, Earnesto, Ernesto, Ernestus, Erneszt (Hungarian), Ernie, Erno, Ernst"
Ernestine,"Erna, Ernaline, Ernesta"
Erol,Eroll
Erroman,
Erskine,
Ervin,"Ervine, Ervyn, Erwin, Irvin"
Erwina,Irwina
Eryl,
Esaias,
Esau,
Eshana,
Eshe,
Esi,
Eskaminzim,
Eskil,
Esko,
Esme,Esma
Esmerelda,"Em, Emmie, Emerald, Emerant, Emeraude, Esma, Esmaria, Esmie, Esmiralda, Esmiralde"
Esmond,Esmon
Espen,
Esperanza,"Esperance, Esperantia"
Espowyes,
Essien,
Esta,
Estee,Esta
Esther,"Easter, Essie, Esta, Estelle, Ester, Etty, Hester, Hettie"
Etain,
Etana,
Etenia,
Ethan,"Eathan, Eithan, Etan"
Ethel,"Ethelin, Ethelinda, Etheline"
Ethelbert,
Ethelinda,"Athelina, Ethelenda, Ethelene, Ethelind, Etheline, Etholinda"
Ethelwin,
Ethete,
Ethne,Ethna
Etoile,Etoila
Etsu,"Etsuko, Etsuyo"
Ettore,
Etu,
Etumu,
Etumuye,
Eubh,Eubha
Euclea,
Euclid,
Eudocia,"Docie, Doxie"
Eudora,
Eugene,"Eugen, Eugenio, Eugenius, Evgeny, Ezven (Czech), Gene, Yevgeny"
Eugenia,"Genie, Gene, Gena, Jenna, Jennie"
Eukakio,
Eukepio,Eusebio
Eulalia,"Eula, Lallie"
Eun,Eun-Kyung
Eunice,
Euphemia,"Eadaoine, Effie, Fanny, Phemia, Phemie"
Euroa,
Eurwyn,
Eurydice,Eudyce
Eusebius,
Eustace,"Eustache, Eustachio, Eustachius, Eustachy, Eustasius, Eustazio, Eustis"
Eustacia,"Stacy, Stacie, Stacia"
Evak,
Evalina,"Eveleen, Eveline"
Evan,"Euan, Euen, Evans, Evin, Ewan, Owen, Yvain, Ywaine"
Evander,
Evangeline,"Eve, Eva, Vangie"
Evania,
Eve,"Aoiffe, Eba, Eva, Evaleen, Evelyn, Evetta, Evie, Evita, Neve, Neva, Vica (Hungarian)"
Evelyn,"Aveline, Evaleen, Eveleen, Eveline, Evlin, Evline, Evlyn"
Everard,"Eber, Eberhard, Everardo, Evered, Everett, Everhart, Evrard, Evraud"
Everley,Everleigh
Everton,
Ewald,Evald
Ewan,"Euan, Euen, Ewen"
Ewert,Ewart
Ewing,"Ewin, Ewynn"
Exelby,
Eyanosa,
Eyar,
Eyota,
Eyota,
Eyvar,Eivar
Ezekiel,"Ezechiel, Ezeck, Ezekial, Ezell, Eziakah, Eziechiele, Eziequel, Zeke"
Ezra,"Azariah, Azur, Esdras, Esra, Ezer, Ezri"
Ezrela,Esrela
Fa,
Faas,Fas
Fabayo,
Fabia,"Fabiana, Fabiane, Fabienne, Fabiola"
Fabian,"Faba, Fabar, Fabe, Fabek, Faber, Fabert, Fabiano, Fabio, Fabir, Fabius, Fabyan, Faybien, Fabiusz (Polish)"
Fabrice,"Fabrizio, Fabrizius"
Fabrizia,"Fabrice, Fabricia, Fabrienne, Fabritzia"
Fabron,"Fabre, Fabrizio, Fabroni"
Fachnan,"Fachtna, Faughnan"
Fadey,"Faddei, Fadeaushka, Fadeuka"
Fadi,Fady
Fadil,Fadal
Fadila,Fadilah
Fadl,Fadhl
Fagan,"Fagin, Faigan, Faigin"
Fahd,"Fahad, Fahid"
Fahim,
Fai,"Faya, Faye, Feya"
Faida,Fayda
Faida,Fayda
Faine,"Faina, Fane"
Faipa,
Fairfax,
Faisal,"Faisel, Fasel, Faysal"
Faith,"Fae, Fay"
Faiva,
Fakhr,"Fakhir, Fakhri"
Fakih,
Falah,"Faleen, Falit."
Falak,
Falakika,
Falala,
Falda,Faida
Fale,
Faleaka,
Faline,"Fayline, Felina, Feyline"
Falkner,Faulkner
Fallon,
Falzah,
Fanchon,
Fane,
Fang,
Fang Hua,
Fangaloka,
Fangatua,
Fanua,
Faoiltiarna,
Faolan,"Felan, Phelan"
Faraj,Farag
Faraji,
Fardoos,
Fardoragh,Feardorcha
Fareed,
Farica,
Farid,"Farad, Fared"
Farida,Faridah
Fariha,Farihah
Faris,
Farley,"Fairlay, Fairleigh, Farlay, Farly, Lee, Leigh"
Farnell,"Farnal, Farnald, Fernald, Furnald, Furnall, Furnell"
Farnham,"Farnum, Fernham"
Farnley,"Farnleigh, Farnly, Fernley"
Farold,
Farouk,"Farook, Faruq, Faruqh"
Farquhar,Farquar
Farr,
Farrah,Farra
Farrar,"Farrel, Farrell, Farris, Ferris"
Farrell,"Farrill, Ferryl"
Farron,"Ferron, Ferrin"
Faruq,"Farook, Farocq"
Fathi,Fath
Fathiya,
Fatima,Fatma
Fatin,Fatina
Fatuimoana,
Fau,
Fauiki,
Faust,"Faustino, Fausto, Faustus, Faustyn"
Faustine,"Fausta, Faustina"
Fautave,
Favian,
Favor,
Fawn,"Faina, Fanya, Fauna, Fawna, Fawnia"
Fawz,
Fay,"Faye, Feich"
Fay,"Fae, Faye, Fee"
Fayette,
Fayiz,
Fayola,
Fayruz,
Fayza,"Faiza, Faizah, Fawzia"
Fazl,Faisal
Feagh,
Fealty,
Fearadhach,
Fedlim,Fedlym
Feeli,
Feena,
Fehin,
Feidhlim,
Feige,"Faga, Faiga, Faigel, Feiga, Feigel"
Feilo,
Feivel,
Feke,
Fekitoa,
Felda,
Feleti,
Felice,"Falisha, Felice, Feliciana, Falicie, Felicia, Felicienne, Felicity, Felis, Felita, Felysse"
Felix,"Fee, Felic, Felicio, Felike, Feliks, Feliz, Felizio"
Felora,Felorena
Felton,"Felten, Feltin"
Femi,
Fenella,"Finalla, Fionnula, Fionghuala"
Feng,
Fenia,Fenja
Fenton,
Fenyang,
Feoras,
Ferdinand,"Ferd, Ferdie, Ferdinando, Ferdo, Fernand, Fernando, Ferrando, Hernando, Nando"
Fergal,
Fergus,"Fearghas, Fearghus, Feargus, Fergie, Ferguson"
Fermac,Fearmac
Fermin,"Firman, Firmin"
Fern,
Fernanda,"Anda, Ferdinande, Fern, Fernande, Nan, Nanda"
Fernley,"Farnleigh, Farnley, Fernlea, Fernleigh"
Feronia,Feronie
Feroz,
Ferran,"Feran, Farand, Faran, Farrand, Farrant, Ferand, Ferran"
Ferrand,"Farand, Farrant, Ferrant"
Ferrell,"Ferel, Ferrel"
Ferris,"Farrice, Farrish, Feris"
Festus,
Fetuu,
Fiachra,"Fiacre, Fiach"
Fiala,
Fiammetta,Fia
Fidda,
Fidel,"Fidele, Fidelio, Fidelis"
Fidelity,"Fidela, Fidele, Fidelia"
Fidelma,"Feidhelm, Fedelma"
Fielding,Feilding
Fihaki,
Fikri,
Fikriya,
Filbert,"Bert, Burt, Filberte, Filberto, Fillbert, Philibert, Philiberte"
Filia,
Filimoeika,
Filmore,"Filmer, Fylmer"
Fineen,
Fineeva,
Fineongo,
Fingall,
Finian,"Fionan, Fionn, Phinean, Phinian"
Finlay,"Findlay, Finlea, Finlee, Finley, Finn, Lee, Leigh"
Finn,Fin
Finn,Fin
Finnegan,Finegan
Fiona,
Fionnlagh,
Fiorello,Fiorelli
Fipe,
Firas,"Fira, Firah"
Firdos,"Firdaus, Firdose, Firdoze"
Firoz,"Feroz, Feroze, Firuz"
Firth,
Fisi,
Fisk,Fiske
Fitch,
Fitz,
Fitzgerald,
Fitzhugh,
Fitzpatrick,
Fitzroy,
Fiusa,
Flaminia,
Flaminio,
Flann,"Flannery, Flannin"
Flanna,
Flavia,"Flavie, Flaviere"
Flavian,"Flavel, Flavien, Flavio, Flavius, Flawiusz"
Flawiusz,
Fleming,Flemming
Fleta,
Fletcher,"Flecher, Fletch"
Fleur,"Fleurette, Fleurine"
Flint,
Flo,
Flora,"Fiora, Fiore, Fleur, Flo, Flore, Florella, Floria, Florida, Floris, Florrie"
Florence,"Fiorentia, Fiorenza, Flo, Flora, Floranz, Florencia, Florentina, Florenza (Italian), Floria, Floriane, Florida (Spanish), Florinda, Florry, Floss, Flossy"
Florent,
Florian,
Flower,
Floyd,
Flynn,Flinn
Fokai,
Fokisi,
Fola,Folade
Folade,
Folami,
Folant,
Folau,
Folayan,
Folke,"Folker, Volker"
Foluke,
Foluke,
Fonda,Fondar
Fontaine,"Fontayne, Fonteyne, Fontane, Fontana"
Fonu,
Forbes,
Ford,
Fordel,Fordal
Fordon,"Fordan, Forden, Fordin"
Forrest,"Forester, Forster, Foster"
Fortune,"Fortuna, Fortunata"
Fortune,"Fortunato, Fortunatus, Fortunio"
Foster,
Fowler,
Foy,
Frances,"Cecca (Italian), Ceccina (Italian), Fan, Fanchette, Fancy, Fanechka, Fania, Fannie, Fanny, Fanya, Fran, Franca, Franchette, Franchtje (Dutch), Francie, Francine, Francisca, Franciska (Polish), Franchesca, Francoise, Frankie, Franny, Frantisek (Bohemian), Franulka (Polish), Franzetta, Frazea (Spanish), Pancha (Spanish)"
Francis,"Chico, Feren, Ferenc, Ferencz, Feri, Franas (Lithuanian), Franco, Francesco, Franchot, Francilo, Francisco, Francisek (Bohemian), Francois, Frane, Franio, Frank, Frankie, Franko, Fransisco, Franz, Franzel, Franzen, Frasco, Frascuelo, Frasquito, Paco, Pacorro, Panchito, Pancho, Paquito, Pranco"
Franklin,"Frank, Francklin, Franklyn"
Frayne,"Frain, Fraine, Frean, Freen, Freyne"
Frayne,"Frain, Fraine, Frean, Freen, Freyne"
Frazer,"Fraser, Frazier"
Freda,"Freada, Freida, Frida, Frydda"
Frederica,"Bedriska (Bohemian), Farica, Federica, Fred, Fredalena, Freddie, Frederickina, Frederine, Frederique, Fredia, Fredricia, Frerika, Friederike, Rica, Rickie, Rikki"
Frederick,"Eric, Erich, Erico, Erik, Federico, Federigo, Fred, Freddie, Fredek, Frederico, Frederigo, Friedel, Friedrich, Fridrich, Fritz, Fritzchen, Fritzl, Rick, Ricky"
Freeman,"Freeborn, Freedman, Freeland, Freemon, Friedman"
Fremont,
Frewin,Frewen
Frey,
Freya,Fraya
Frick,Fric
Fridolf,"Freydolf, Freydulf, Fridulf"
Fritz,
Fritzi,
Frode,
Fronde,
Fuad,
Fuanilevu,
Fudo,
Fuhai,
Fuji,"Fujiko, Fujiyo"
Fujo,
Fukayna,
Fulande,Fulangi
Fulbright,"Fulbert, Philibert, Philbert"
Fuleheu,
Fuller,
Fulton,
Fulumirani,
Fulvia,
Funsan,
Fushen,
Fusi,
Futkefu,
Fuyu,Fuyuko
Fyfe,Phyfe
Fynn,"Fin, Finn"
